"ID";"Track";"StartTime";"Length";"PlayRate";"Locked";"Normalized";"StretchMethod";"Looped";"OnRuler";"MediaType";"FileName";"Stream";"StreamStart";"StreamLength";"FadeTimeIn";"FadeTimeOut";"SustainGain";"CurveIn";"GainIn";"CurveOut";"GainOut";"Layer";"Color";"CurveInR";"CurveOutR";"PlayPitch";"LockPitch";"FirstChannel";"Channels"
17; 0; 101818.3833; 162145.3167; 1.000000; FALSE; FALSE; 2; TRUE; FALSE; AUDIO; "E:\Borg\DVD\MAIN_2X.mp4"; 0; 101818.3833; 162145.3167; 0.0000; 0.0000; 1.000000; 2; 0.000000; -2; 0.000000; 0; -1; -2; 2; 0.000000; FALSE; 0; 0
18; 0; 263963.7000; 246679.7666; 1.000000; FALSE; FALSE; 2; TRUE; FALSE; AUDIO; "E:\Borg\DVD\MAIN_2X.mp4"; 0; 263963.7000; 246679.7666; 0.0000; 0.0000; 1.000000; 2; 0.000000; -2; 0.000000; 0; -1; -2; 2; 0.000000; FALSE; 0; 0
19; 0; 510643.4666; 151985.1667; 1.000000; FALSE; FALSE; 2; TRUE; FALSE; AUDIO; "E:\Borg\DVD\MAIN_2X.mp4"; 0; 510643.4666; 151985.1667; 0.0000; 0.0000; 1.000000; 2; 0.000000; -2; 0.000000; 0; -1; -2; 2; 0.000000; FALSE; 0; 0
20; 0; 662628.6333; 45261.8833; 1.000000; FALSE; FALSE; 2; TRUE; FALSE; AUDIO; "E:\Borg\DVD\MAIN_2X.mp4"; 0; 662628.6333; 45261.8833; 0.0000; 0.0000; 1.000000; 2; 0.000000; -2; 0.000000; 0; -1; -2; 2; 0.000000; FALSE; 0; 0
21; 0; 707890.5166; 25642.2834; 1.000000; FALSE; FALSE; 2; TRUE; FALSE; AUDIO; "E:\Borg\DVD\MAIN_2X.mp4"; 0; 707890.5166; 775724.9500; 0.0000; 0.0000; 1.000000; 2; 0.000000; -2; 0.000000; 0; -1; -2; 2; 0.000000; FALSE; 0; 0
22; 0; 733532.8000; 14914.9000; 1.000000; FALSE; FALSE; 2; TRUE; FALSE; AUDIO; "E:\Borg\DVD\MAIN_2X.mp4"; 0; 733532.8000; 14914.9000; 0.0000; 0.0000; 1.000000; 2; 0.000000; -2; 0.000000; 0; -1; -2; 2; 0.000000; FALSE; 0; 0
23; 0; 748447.7000; 17233.8833; 1.000000; FALSE; FALSE; 2; TRUE; FALSE; AUDIO; "E:\Borg\DVD\MAIN_2X.mp4"; 0; 748447.7000; 17233.8833; 0.0000; 0.0000; 1.000000; 2; 0.000000; -2; 0.000000; 0; -1; -2; 2; 0.000000; FALSE; 0; 0
24; 0; 765681.5833; 164414.2500; 1.000000; FALSE; FALSE; 2; TRUE; FALSE; AUDIO; "E:\Borg\DVD\MAIN_2X.mp4"; 0; 765681.5833; 164414.2500; 0.0000; 0.0000; 1.000000; 2; 0.000000; -2; 0.000000; 0; -1; -2; 2; 0.000000; FALSE; 0; 0
25; 0; 930095.8333; 55371.9833; 1.000000; FALSE; FALSE; 2; TRUE; FALSE; AUDIO; "E:\Borg\DVD\MAIN_2X.mp4"; 0; 930095.8333; 55371.9833; 0.0000; 0.0000; 1.000000; 2; 0.000000; -2; 0.000000; 0; -1; -2; 2; 0.000000; FALSE; 0; 0
26; 0; 985467.8166; 81831.7500; 1.000000; FALSE; FALSE; 2; TRUE; FALSE; AUDIO; "E:\Borg\DVD\MAIN_2X.mp4"; 0; 985467.8166; 81831.7500; 0.0000; 0.0000; 1.000000; 2; 0.000000; -2; 0.000000; 0; -1; -2; 2; 0.000000; FALSE; 0; 0
